,BU.SHF,BZ.DCE,EB.DCE,EG.DCE,FG.ZCE,FU.SHF,L.DCE,LU.INE,MA.ZCE,PF.ZCE,PG.DCE,PL.ZCE,PP.DCE,PX.ZCE,RU.SHF,SA.ZCE,SC.INE,SH.ZCE,SP.SHF,TA.ZCE,V.DCE
20180503,0.32311829238190276,0.0,0.0,0.0,-8.63445677701258,0.0,-8.50233037925066,0.0,3.6770529536890026,0.0,0.0,0.0,-5.491189589054898,0.0,-2.0206879018956436,0.0,-2.518653461564396,0.0,0.0,-6.536241025501973,-0.5417813919123708
20180504,0.08860810700236983,0.0,0.0,0.0,-10.996986924233763,0.0,-7.076386190624209,0.0,4.097745222323916,0.0,0.0,0.0,-3.906575859088771,0.0,-0.7907899105908653,0.0,-2.2297134197910706,0.0,0.0,-5.774947335762477,0.2687245581413234
20180507,0.13568950007860653,0.0,0.0,0.0,-11.337583280615927,0.0,-4.530606856908142,0.0,4.819427645848305,0.0,0.0,0.0,-1.7246263940561406,0.0,1.0038382220161064,0.0,-1.829761581102937,0.0,0.0,-3.6365934194198863,1.9214484986257043
20180508,0.13545389595050575,0.0,0.0,0.0,-10.500546883499606,0.0,-2.692479774435228,0.0,5.354601872162973,0.0,0.0,0.0,-0.09363661692556272,0.0,2.4986241370709936,0.0,-1.3675049785895192,0.0,0.0,-0.8678605117135034,3.2043599023483953
20180509,-0.07024207019461139,0.0,0.0,0.0,-9.304612960010385,0.0,-1.066918874744277,0.0,5.97495627912632,0.0,0.0,0.0,1.4260323791398422,0.0,3.6918484212441394,0.0,-1.3317274872842144,0.0,0.0,0.9420711314308574,4.0587634220525315
20180510,0.49700871647696077,0.0,0.0,0.0,-7.276436103074472,0.0,0.519109707715133,0.0,6.927328552172921,0.0,0.0,0.0,3.0676390536664684,0.0,4.7291621546290274,0.0,-1.1131300492459562,0.0,0.0,3.9384488652727545,4.969149090476521
20180511,0.45817835747581115,0.0,0.0,0.0,-6.6283818615006,0.0,1.9098912425793257,0.0,7.713594171820017,0.0,0.0,0.0,4.474327939038358,0.0,5.612432305202996,0.0,-1.1128194078649345,0.0,0.0,6.585902898230837,5.3983159323522845
20180514,0.5034368918589978,0.0,0.0,0.0,-4.52749312893675,0.0,2.225690990771385,0.0,8.709235890309234,0.0,0.0,0.0,5.049237153370251,0.0,6.172103185039909,0.0,-1.2370340648054519,0.0,0.0,9.200742265657867,5.782013559926996
20180515,-0.07514037976494468,0.0,0.0,0.0,-1.3748819946486341,0.0,2.201566757249057,0.0,9.830186200821728,0.0,0.0,0.0,5.597021848685931,0.0,6.3399843090474235,0.0,-1.1208115855082688,0.0,0.0,11.484309500618295,5.687041677061041
20180516,-0.9907644622908336,0.0,0.0,0.0,0.9278639144443762,0.0,2.388644765167414,0.0,11.22915164035433,0.0,0.0,0.0,6.359329837620456,0.0,6.307656528736372,0.0,-0.796797150787117,0.0,0.0,13.703591305038042,5.158342927287005
