sector,strategyFile,window,z_open,z_close,max_hold,signal_mode,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.6_ZC_0.4_H_25_trend.csv,25,1.6,0.4,25,trend,0.32822515718347656,-30.563571606971138,1461,11.115611482500986,8.05069902212256
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.8_H_25_trend.csv,50,1.2,0.8,25,trend,0.32805809105236783,-35.2460667598626,1530,10.49604933513201,8.368700153066627
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.6_ZC_0.0_H_5_trend.csv,50,1.6,0.0,5,trend,0.32704309140017435,-31.376908250638664,2475,7.54324381475999,7.529677334357925
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.4_ZC_0.8_H_25_trend.csv,50,1.4,0.8,25,trend,0.326956973708327,-44.313115455418284,1800,11.195459704880818,9.43551514863923
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.6_ZC_0.4_H_5_trend.csv,50,1.6,0.4,5,trend,0.3260878754199016,-30.840627052606223,2475,7.437751004016064,7.47841809760067
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.8_H_30_trend.csv,50,1.8,0.8,30,trend,0.32561587666176156,-35.297624370463424,1147,12.574501739955707,11.969488080588022
Agriculture,MovingAverageV3_1_sector_Agriculture_M_35_ZO_2.0_ZC_0.8_H_30_trend.csv,35,2.0,0.8,30,trend,0.3253576209476641,-32.53877636828523,1498,10.704451038575666,10.37643574991177
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_2.0_ZC_0.8_H_10_trend.csv,20,2.0,0.8,10,trend,0.3253368312962197,-36.66032659772347,1338,6.08274078862314,6.258444773123186
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.4_ZC_0.6_H_25_trend.csv,50,1.4,0.6,25,trend,0.3250377704022768,-31.73893379284088,1460,13.048430275006085,10.413942083166884
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.4_ZC_0.8_H_15_trend.csv,25,1.4,0.8,15,trend,0.3249547475970632,-40.1550212430499,1460,7.271922054915854,5.861405288524656
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.8_H_20_trend.csv,50,1.8,0.8,20,trend,0.3242746584137339,-36.38252934060169,1147,11.464187747637917,10.945936084208968
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.2_ZC_0.4_H_5_trend.csv,45,1.2,0.4,5,trend,0.323949199363389,-34.574508290745065,1101,8.983214226358651,7.028660096431133
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.2_H_15_trend.csv,40,2.0,0.2,15,trend,0.32363268455864935,-32.1351915899396,1333,11.350143632301307,10.777581312633258
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.2_H_15_trend.csv,45,1.8,0.2,15,trend,0.32264169286882655,-36.65911877200332,1536,12.219907407407408,10.765124684336504
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.8_H_25_trend.csv,50,2.0,0.8,25,trend,0.3225065792645294,-32.80475030659147,1328,12.411851851851852,12.725959543548031
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.0_H_25_trend.csv,50,2.0,0.0,25,trend,0.32147643591591396,-42.44628287252535,1371,18.451661067562522,14.13677409994922
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.8_H_15_trend.csv,50,1.2,0.8,15,trend,0.32104158819036926,-37.98392814888658,1534,10.157349896480332,7.984017296283584
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.6_ZC_0.2_H_5_trend.csv,50,1.6,0.2,5,trend,0.32028296361979924,-30.627165781823606,2475,7.486366518706403,7.353937636690996
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.2_ZC_0.2_H_5_trend.csv,45,1.2,0.2,5,trend,0.31992732286855874,-34.73885693212469,1101,9.202745688933534,7.01048057248781
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.4_H_15_trend.csv,50,1.2,0.4,15,trend,0.3198415663056923,-28.34120507540925,1427,13.316461172398874,9.587419996654534
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.0_H_15_trend.csv,50,1.2,0.0,15,trend,0.3195190361085185,-31.266895733801277,993,17.486486486486484,10.7317434901103
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.4_ZC_0.0_H_30_trend.csv,45,1.4,0.0,30,trend,0.3181753515090414,-35.893709304149965,1481,23.49013747758518,13.102152123092662
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.4_ZC_0.8_H_20_trend.csv,50,1.4,0.8,20,trend,0.31817335150396897,-40.74557989881275,1534,10.970594837261501,9.036475683376604
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_1.4_ZC_0.8_H_20_trend.csv,20,1.4,0.8,20,trend,0.31787047356525916,-35.22345217164506,1152,6.597156398104265,5.026925633784444
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.8_H_30_trend.csv,50,1.2,0.8,30,trend,0.317511765698443,-37.29112987758114,1531,10.546158312366945,8.145442887316182
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_1.8_ZC_0.8_H_15_trend.csv,20,1.8,0.8,15,trend,0.3173862988696975,-30.74568370122647,918,6.799576196362352,5.945808857509661
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.8_H_25_trend.csv,45,1.8,0.8,25,trend,0.3168707464898769,-36.38129860201829,1329,11.532782043709393,10.560998328004834
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.8_H_30_trend.csv,45,1.8,0.8,30,trend,0.316568392644665,-34.273612010074544,1536,11.889810426540285,10.856200933125463
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_2.0_ZC_0.6_H_30_trend.csv,50,2.0,0.6,30,trend,0.3165428393899168,-31.44454262858965,1419,14.31469052945563,13.390495426044932
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.2_ZC_0.0_H_5_trend.csv,45,1.2,0.0,5,trend,0.31650535796191526,-33.13790786095527,1098,9.359744838005707,6.959662958148969
Agriculture,MovingAverageV3_1_sector_Agriculture_M_25_ZO_1.4_ZC_0.4_H_15_trend.csv,25,1.4,0.4,15,trend,0.31606610799519447,-33.06995018173066,1419,9.708029197080291,6.699496526598633
Agriculture,MovingAverageV3_1_sector_Agriculture_M_40_ZO_2.0_ZC_0.2_H_20_trend.csv,40,2.0,0.2,20,trend,0.3159521912412568,-37.17249502790678,1147,13.233180927498367,11.246646660618131
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_2.0_ZC_0.6_H_25_trend.csv,45,2.0,0.6,25,trend,0.3158153188823715,-36.254506286644286,1152,13.093999306278185,12.23549951673721
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.4_ZC_0.2_H_30_trend.csv,50,1.4,0.2,30,trend,0.3156822688022434,-30.345996079457677,1413,17.64796905222437,11.695868847322396
Agriculture,MovingAverageV3_1_sector_Agriculture_M_20_ZO_1.6_ZC_0.8_H_15_trend.csv,20,1.6,0.8,15,trend,0.31549622217860157,-35.26812013543545,918,6.640601503759397,5.392679114743656
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.2_ZC_0.6_H_15_trend.csv,50,1.2,0.6,15,trend,0.3151933416840605,-32.80889473204964,1530,11.857463753318356,8.754167899162248
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.8_ZC_0.0_H_20_trend.csv,50,1.8,0.0,20,trend,0.31515729722897246,-33.935479479930095,1027,16.648333872533158,12.137225755489014
Agriculture,MovingAverageV3_1_sector_Agriculture_M_35_ZO_2.0_ZC_0.8_H_20_trend.csv,35,2.0,0.8,20,trend,0.31441360794646384,-37.440820373373214,1531,9.796002351557906,9.281416087325779
Agriculture,MovingAverageV3_1_sector_Agriculture_M_45_ZO_1.8_ZC_0.6_H_10_trend.csv,45,1.8,0.6,10,trend,0.31429354431054907,-34.170790586735116,1324,9.142326075411578,8.87130118709078
Agriculture,MovingAverageV3_1_sector_Agriculture_M_50_ZO_1.6_ZC_0.6_H_5_trend.csv,50,1.6,0.6,5,trend,0.3140536073027033,-30.98477835642757,2475,7.355288157061431,7.18122784629639
