strategyFile,window,z_open,z_close,min_hold,max_hold,cooldown_days,signal_mode,zscore_method,sharpeRatio,maxDrawdown,maxDrawdownDays,holdingPeriod,pot
MovingAverageV3_4_M_25_ZO_1.6_ZC_0.4_MINH_3_H_20_CD_5_trend.csv,25,1.6,0.4,3,20,5,trend,price_ratio_over_vol,0.5483673615821275,-55.67697797840415,961,9.99639849584238,10.269842384502127
MovingAverageV3_4_M_30_ZO_1.2_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,30,1.2,0.4,5,20,5,trend,price_ratio_over_vol,0.5480980526239558,-40.22093449646644,875,10.57297022143039,10.031696565782095
MovingAverageV3_4_M_50_ZO_1.6_ZC_0.0_MINH_3_H_15_CD_5_trend.csv,50,1.6,0.0,3,15,5,trend,price_ratio_over_vol,0.547190849053474,-40.044781626264395,875,10.964522333832015,10.610677764257005
MovingAverageV3_4_M_50_ZO_1.6_ZC_0.0_MINH_5_H_15_CD_5_trend.csv,50,1.6,0.0,5,15,5,trend,price_ratio_over_vol,0.547190849053474,-40.044781626264395,875,10.964522333832015,10.610677764257005
MovingAverageV3_4_M_35_ZO_1.4_ZC_0.4_MINH_5_H_20_CD_5_trend.csv,35,1.4,0.4,5,20,5,trend,price_ratio_over_vol,0.5466824651065935,-39.04957866988718,875,10.877844374900546,10.73913804394701
MovingAverageV3_4_M_35_ZO_1.4_ZC_0.2_MINH_3_H_20_CD_3_trend.csv,35,1.4,0.2,3,20,3,trend,price_ratio_over_vol,0.5464665092232167,-38.354414552953074,858,11.483642175715488,10.856769727956973
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.8_MINH_3_H_10_CD_5_trend.csv,20,1.2,0.8,3,10,5,trend,price_ratio_over_vol,0.5463251540715853,-29.1508215168041,859,5.587769730456212,6.37605610996805
MovingAverageV3_4_M_20_ZO_1.4_ZC_0.2_MINH_3_H_20_CD_3_trend.csv,20,1.4,0.2,3,20,3,trend,price_ratio_over_vol,0.5454376870727388,-38.49952883627009,875,10.993370931037894,9.751874070434784
MovingAverageV3_4_M_40_ZO_1.8_ZC_0.6_MINH_5_H_20_CD_3_trend.csv,40,1.8,0.6,5,20,3,trend,price_ratio_over_vol,0.545329509392484,-47.21536993872705,875,10.656319519892392,11.612342706212313
MovingAverageV3_4_M_20_ZO_1.2_ZC_0.8_MINH_3_H_20_CD_1_trend.csv,20,1.2,0.8,3,20,1,trend,price_ratio_over_vol,0.5448354590470785,-39.99495532293383,875,7.226086073206244,7.45642443754076
MovingAverageV3_4_M_20_ZO_2.0_ZC_0.6_MINH_3_H_20_CD_5_trend.csv,20,2.0,0.6,3,20,5,trend,price_ratio_over_vol,0.542887017147763,-46.83034882590198,875,9.044327236000449,10.455049179175639
MovingAverageV3_4_M_20_ZO_2.0_ZC_0.8_MINH_5_H_20_CD_1_trend.csv,20,2.0,0.8,5,20,1,trend,price_ratio_over_vol,0.5426714463126696,-44.96809107081796,875,8.842787842787837,10.145750109442956
