,Simple_PnL,Position_Factor,Compound_PnL_Rate,Compound_Net_Value,Drawdown,Max_Drawdown
20220510,-1.2848310506972611,1.0,-0.016060388133715763,1.9841129422888557,0.016060388133715797,0.09102342593912305
20220511,-1.00386279751827,1.0,-0.012548284968978375,1.9592157276783768,0.028407142775680017,0.09102342593912305
20220512,1.4295238952816904,1.0,0.017869048691021128,1.9942250489124762,0.011045702702090265,0.09102342593912305
20220513,0.362069623683082,1.0,0.004525870296038525,2.003250652824965,0.006569823823809995,0.09102342593912305
20220516,-1.1716230834953805,1.0,-0.014645288543692257,1.9739124689890035,0.021118895401921467,0.09102342593912305
20220517,0.9516530834034967,1.0,0.01189566354254371,1.9973934675825287,0.009474455133469006,0.09102342593912305
20220518,0.614154995304469,1.0,0.007676937441305863,2.012727332278833,0.0018702524915131802,0.09102342593912305
20220519,-0.5980673736807461,1.0,-0.007475842171009326,1.9976805004094398,0.009332112950075966,0.09102342593912305
20220520,-0.5001751961499356,1.0,-0.006252189951874194,1.985190622457725,0.01552595675913393,0.09102342593912305
20220523,-0.1672229638004664,1.0,-0.00209028704750583,1.9810410042127715,0.017583790100325958,0.09102342593912305
20220524,0.4470385706769636,1.0,0.005587982133462045,1.9921110259499684,0.012094065871783077,0.09102342593912305
20220525,0.5769082485461468,1.0,0.007211353106826835,2.0064768419860965,0.004969927344454894,0.09102342593912305
20220526,0.4608387457412383,1.0,0.005760484321765479,2.0180351203763434,0.0,0.09102342593912305
20220527,-0.3437944804177108,1.0,-0.004297431005221385,2.009362753680412,0.004297431005221508,0.09102342593912305
20220530,-1.0686181307600662,1.0,-0.013357726634500827,1.9825222353072014,0.017597753731123933,0.09102342593912305
20220531,-0.1545770980168763,1.0,-0.001932213725210954,1.978691578633605,0.01949596483504268,0.09102342593912305
20220601,-1.2878259589399292,1.0,-0.016097824486749117,1.9468389488873528,0.035279946701677445,0.09102342593912305
20220602,-0.906476535084292,0.8,-0.00906476535084292,1.9291913106398073,0.0440249076140794,0.09102342593912305
20220606,0.8638519500297868,0.8,0.008638519500297868,1.9458566673965745,0.03576669813670452,0.09102342593912305
20220607,0.8131942615225282,0.8,0.008131942615225282,1.961680262153297,0.027925608258263068,0.09102342593912305
