trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,mapping_ts_code,ts_code,pre_main_close,roll_factor,adj_close,adj_open,adj_high,adj_low,adj_settle
20231020,5815.0,5822.2,5800.0,5830.0,5725.0,5748.0,5741.0,-74.2,-81.2,18297.0,2113564.148,97819.0,845.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6144.395098770573,6199.9811365465075,6232.050004494162,6119.808966677371,6136.91236291612
20231023,5748.0,5741.0,5727.0,5731.0,5550.0,5585.0,5585.6,-156.0,-155.4,23981.0,2702708.128,98090.0,271.0,IM2312.CFX,IM.CFX,,1.0689622649218116,5970.154249588318,6121.946891207215,6126.222740266902,5932.740570316054,5970.795626947271
20231024,5585.0,5585.6,5610.0,5707.8,5568.6,5660.8,5673.2,75.2,87.6,25330.0,2860395.764,97660.0,-430.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6051.181589269391,5996.8783062113625,6101.422815720716,5952.6232684436,6064.436721354421
20231025,5660.8,5673.2,5711.4,5774.6,5708.6,5721.2,5731.8,48.0,58.6,18219.0,2092803.656,94900.0,-2760.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6115.7469100706685,6105.271079874434,6172.829495017493,6102.2779855326535,6127.0779100788395
20231026,5721.2,5731.8,5680.0,5781.6,5680.0,5762.0,5751.2,30.2,19.4,20070.0,2296866.376,97364.0,2464.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6159.360570479478,6071.705664755889,6180.312230871946,6071.705664755889,6147.815778018323
20231027,5762.0,5751.2,5745.2,5912.2,5731.0,5892.6,5896.2,141.4,145.0,24822.0,2894815.3,95879.0,-1485.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6298.967042278267,6141.402004428792,6319.918702670734,6126.222740266902,6302.815306431985
20231030,5892.6,5896.2,5890.0,5984.4,5882.2,5957.0,5968.8,60.8,72.6,21774.0,2585040.52,96473.0,594.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6367.808212139232,6296.1877403894705,6397.097778198089,6287.84983472308,6380.4219668653095
20231031,5957.0,5968.8,5944.0,5970.6,5898.4,5928.8,5919.6,-40.0,-49.2,17518.0,2076425.032,93549.0,-2924.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6337.663476268436,6353.911702695248,6382.346098942168,6305.167023414813,6327.829023431156
20231101,5928.8,5919.6,5949.6,5949.6,5897.6,5920.2,5916.2,0.6,-3.4,15197.0,1798591.58,93797.0,248.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6328.470400790108,6359.8978913788105,6359.8978913788105,6304.311853602876,6324.194551730421
20231102,5920.2,5916.2,5932.0,5953.4,5858.0,5863.0,5868.0,-53.2,-48.2,16040.0,1890630.0,94143.0,346.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6267.325759236581,6341.084155516186,6363.959947985512,6261.980947911972,6272.67057056119
20231103,5863.0,5868.0,5879.2,5981.0,5875.0,5945.2,5954.8,77.2,86.8,21729.0,2583088.188,96880.0,2737.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6355.194457413154,6284.642947928314,6393.463306497355,6280.153306415643,6365.456495156403
20231106,5945.2,5954.8,5990.2,6086.8,5986.8,6071.0,6063.2,116.2,108.4,20202.0,2442740.884,95292.0,-1588.0,IM2312.CFX,IM.CFX,,1.0689622649218116,6489.669910340318,6403.297759334636,6506.559514126083,6399.663287633902,6481.332004673927
