,A.DCE,AP.ZCE,B.DCE,C.DCE,CF.ZCE,CS.DCE,JD.DCE,LH.DCE,M.DCE,OI.ZCE,P.DCE,RM.ZCE,SR.ZCE,UR.ZCE,Y.DCE
20200604,4.772474073300708,12.447459413959097,-14.430843803214259,29.465544303471077,12.40977110107188,25.506605582546158,-10.640665467550114,0.0,-16.237613623521526,16.5540198974431,-4.606092216613185,-10.818368470294256,-12.869282733585523,-6.380276562452229,-2.4312931015532593
20200605,1.8639282213946726,12.81840977097203,-15.28237418471436,29.72675885254512,13.576579898704216,25.94150827033524,-10.919668913203195,0.0,-13.209746195484128,16.74597270027828,-3.7221328382303933,-8.784208166839765,-12.955201418040525,-9.45252160959177,-1.9258340638429172
20200608,1.5553934393222757,13.922354082691632,-15.831734983579246,30.117657160858354,14.551828071921493,21.12912730476762,-10.877252977822693,0.0,-14.674629544244114,16.901143776998556,-2.9991707807351027,-10.74819819094825,-12.94331095214596,-11.96451614480339,1.864609537333045
20200609,1.3029584391334044,14.808257705031938,-16.330243882630736,30.210358344955353,15.390857653696111,22.213866448201358,-11.038188042222135,0.0,-15.872410338105956,17.100760128223595,0.1351838658767289,-12.353844964087209,-13.019761561785336,-13.862789769960868,4.970095545651048
20200610,1.0944262739538229,12.058113666324514,-16.675092908249137,30.24477778720502,15.996792818825842,23.17129033550653,-10.976652963147385,0.0,-16.903291937823628,17.505700909285345,2.6880188400788594,-13.66881798420355,-13.044983164519973,-15.423001934834847,7.368247228163894
20200611,0.9262799529184589,9.808185606799768,-17.230884125415376,30.250063093218273,16.51381358584909,23.979280819575088,-10.968432236207224,0.0,-17.932304956101518,17.777725123300616,4.7502118012238075,-14.529816315746201,-13.213909904657218,-16.565545503040756,9.58341379811541
20200612,0.7889240923453276,11.053626444918724,-17.54169543086445,30.676494101016374,16.948326901128578,24.947650603017134,-10.969913285033037,0.0,-14.598694629566266,17.972385995028116,6.513401489655505,-15.122347404554246,-13.341140645638864,-17.64577468862486,11.575121937187696
20200615,0.6774243082615562,11.994678020058435,-17.400532775093964,30.958907165252683,17.16654741899555,25.866220836034472,-10.973834054097134,0.0,-12.020453276752603,18.1213338317616,7.8272422824007695,-15.570571683645637,-13.394957101572476,-18.544224242002564,12.82945908778747
20200616,0.5863295466924257,12.895941626305806,-17.129375615730137,31.287767257048948,17.385253825758358,26.485486898853114,-10.961968028219891,0.0,-5.875987373921131,18.35898325080108,8.662861083066927,-15.98891691312598,-13.45386753334079,-19.509986968500634,13.66676146561526
20200617,2.249148520131499,13.626101638106691,-16.92880641070424,31.864835631978572,17.597790625243974,27.321338120143253,-10.952503935511192,0.0,-0.9189806579973698,18.56507773518609,9.359454823787505,-16.345059915490154,-13.500510955341689,-20.326351756087856,14.347960012360332
