trade_date,ZN.SHF,PB.SHF,NI.SHF,SN.SHF,AO.SHF,AD.SHF
20160922,83.61437927404555,77.54399184827764,79.74775568912827,82.6205286481251,,
20160923,83.6652026521572,77.31322346880604,78.61110890842399,82.62614541815577,,
20160926,83.03651976530905,77.02749011710259,79.63169686916306,83.09554054386358,,
20160927,83.03633490707611,76.0952684239724,80.07852352614951,83.47895217735928,,
20160928,83.03757862483427,75.25217648313355,80.19230014693794,83.83897274566354,,
20160929,83.00824794911587,74.0207385492211,80.36802832724983,84.265742183759,,
20160930,83.03929364542938,72.19470390694846,80.37432726726371,84.89345225044872,,
20161010,84.36072134362281,72.44723328198869,80.52013350893417,85.70314587567009,,
20161011,85.30253624457447,72.6431888084164,80.5421582570238,88.41232175736451,,
20161012,84.96033815511352,72.10041436652271,80.44806298593751,90.37029840615651,,
20161013,84.74025603465432,71.23924330524432,80.1665902505373,91.8722620766216,,
20161014,84.48092359731342,70.9204464233721,79.92728886520554,92.79333442302598,,
20161017,84.26338787032888,70.87819457873789,79.71943507030284,93.24904298342153,,
20161018,83.78446470337757,70.86711142695944,79.5715051273821,93.58373337155066,,
20161019,85.23946386131523,71.77469078466079,82.26265578015793,107.63124245168696,,
20161020,86.34584245127935,72.7060464006136,84.63567825695111,118.82710026511887,,
20161021,87.75595470305512,72.8811325852975,86.12748562650366,123.7375043029177,,
20161024,88.94538880958372,73.00343936208141,87.06318542144936,128.10746473758275,,
20161025,85.91339387009033,71.53336549453928,88.82475881700687,130.2531427068745,,
20161026,83.28133039291234,70.07819228523927,90.14245361858774,131.0848558458589,,
20161027,81.1387065557043,68.9971375312727,92.22555869264065,133.19586475754846,,
20161028,79.25437725696632,68.15306682633185,92.74139357834949,131.9932065020691,,
20161031,78.30066339371002,67.60394791895035,92.99718475357368,130.84199964600467,,
20161101,77.3834216257732,67.45621961919231,93.88852501180432,128.4597989575156,,
20161102,75.74030796495249,67.00084578086556,93.88022837493358,124.48720882287398,,
20161103,74.28054857827478,66.9071575869266,93.4364203123319,120.28377089611904,,
20161104,73.07965270331842,67.75756820843876,93.14191712737774,113.55263142445216,,
20161107,71.91454117646701,68.6659350773584,86.91119271841258,106.37023255887568,,
20161108,71.0396786039593,68.6428685367047,81.55986299015359,100.2274403243061,,
20161109,71.3631669750655,69.21774427604613,77.25164356457925,95.40639128701909,,
20161110,69.16098137956682,68.255146012025,72.4146580172452,91.36464691199215,,
20161111,67.34919861475213,67.45233088259229,68.46993681149192,88.35513165108287,,
20161114,65.7869141915172,66.77248127584981,63.85354262650346,82.52205392819035,,
20161115,64.29492579427597,66.21629445045599,59.99314394012297,77.32670815674618,,
20161116,63.176764100473925,65.58981708776172,56.88571626625097,73.09942976026768,,
20161117,61.05159343728699,63.756095485625316,54.19972385126927,69.03977720891014,,
20161118,59.336382396176106,62.45539686549617,52.14466084650664,65.76307144840234,,
20161121,57.84087081800441,61.23473535781564,50.475998931192,62.889721303019,,
20161122,57.58074249042655,59.77254223675739,49.03980531346835,60.266999370271186,,
20161123,57.28958272011083,58.7690213660757,47.875028692903065,58.153246928669844,,
20161124,56.0964756869747,57.4543839297807,46.91573046139274,56.424100614113634,,
20161125,55.04025119921981,56.368205426329624,46.183071147139756,55.07160650743696,,
20161128,53.017341669096226,53.801594699241726,45.48806862502152,53.81733361927628,,
20161129,50.915462542572506,51.71377303737208,44.0669998292442,51.887565595838595,,
20161130,48.41203253257168,48.90377756687681,42.631020198026974,50.256152528861,,
20161201,46.357280949768175,46.58558471913789,41.425794759165214,48.49867052328931,,
20161202,44.4241831821005,44.18376718867656,40.432501189910745,47.34741920611595,,
20161205,42.840848492210476,42.19334536613549,40.17675135990959,46.82607496429374,,
20161206,41.6106414870728,40.7057125004548,40.083193445099035,46.559827501222756,,
20161207,40.60206690631008,39.40868156358315,39.97488162952562,46.30953718739049,,
20161208,40.07302913634481,38.490965135531255,40.684722391668465,46.42386422057989,,
20161209,39.58472308664739,37.636666139020726,41.28244260114804,46.518720046570515,,
20161212,39.18184771356511,36.92369698521996,42.7872891058545,47.571305705422986,,
20161213,38.869225742333825,36.339192786071145,43.988992974492895,47.92258664411472,,
20161214,38.597772470780725,35.93684709229012,45.17815186046339,48.230982077790856,,
20161215,38.671046047206865,35.871637287383884,46.29919203650069,48.807170715248986,,
20161216,38.66371587341568,35.31691526857634,47.17932954049539,49.186038987117016,,
20161219,38.15144070372236,34.401840689687546,47.64808230372209,49.11479782459109,,
20161220,37.68294546453511,33.761163787600914,48.286263396551384,49.54744792660319,,
20161221,37.25703872580919,33.1807634486254,48.8100190684075,49.90030966173785,,
20161222,37.32651762131437,32.89411560713191,49.0566601380269,50.14815527339503,,
20161223,37.38840618064948,32.68286534014703,49.30253761718754,50.350698159277066,,
20161226,37.59343710524639,33.37400685937862,48.21135752207847,50.59534346133054,,
20161227,37.56677123392464,33.887702578432645,47.82053935733988,51.30737529095827,,
20161228,37.94642181590019,34.84456655271559,47.9380233096013,52.12734255245015,,
20161229,38.176468500074705,35.80355806501784,48.24782011480024,54.33383255371172,,
20161230,38.51227841741739,36.94267202804363,48.486351723860615,56.29788802592169,,
20170103,38.90125865993892,37.85344583356761,49.52668795179845,57.30595561791202,,
20170104,39.23519619008648,38.46277016594232,50.369758773812286,58.147286543388624,,
20170105,39.61396910307323,39.4868356295789,51.38514671802557,58.17872279955889,,
20170106,40.00756719877957,40.28754793196297,52.32800009115562,58.1229048426076,,
20170109,40.06966833449893,40.89634945239816,52.675091235358956,58.11682352107401,,
20170110,39.76518231509135,40.78632705300395,52.83794246127195,58.140290919062686,,
20170111,39.54024387222762,40.71381238042726,53.178462099811235,58.992514134447234,,
20170112,39.361660129460056,40.65388470920023,53.278635953653804,59.048186383024664,,
20170113,39.33062754044646,40.70044859645048,53.37040581288683,59.34962384723611,,
20170116,39.27936974008242,41.17799573647624,53.25826400012231,59.72379006000989,,
20170117,39.62146667125869,42.41053304680917,53.26169985706872,60.50595808634617,,
20170118,40.11910535993622,44.184156940188245,53.279134545942235,61.11622029089618,,
20170119,40.568127468935984,45.82358498018182,53.31399630448917,61.61020326949888,,
20170120,41.154831598702884,47.06443007319692,52.97576308343618,61.21191988382974,,
20170123,41.46995077836822,47.1290432856606,52.54557564160229,60.87988221593564,,
20170124,45.19460955643443,48.77101647521679,56.63042116308954,61.19466259180552,,
20170125,48.561997618814885,50.214786752681036,60.50821587236355,62.26809258867182,,
20170126,51.31237166061848,51.342309832213544,63.3583914495982,63.26209645020142,,
20170203,52.92823491236249,51.59510682011718,64.41961890609186,63.5430915381874,,
20170206,54.10105614804007,51.814088739981536,64.94048122705425,63.80754961911961,,
20170207,55.013128864177254,52.211095898489226,65.40158860092434,64.86418266537653,,
20170208,55.70386290689809,52.41647611392094,65.8729628819218,65.75979138979366,,
20170209,56.28103278466639,52.60828448725071,66.23533150037295,67.83321092110789,,
20170210,56.66771234833744,52.739317755391845,66.58745681029146,69.72744128766698,,
20170213,57.173339376361085,52.566876676703096,66.33412148391314,69.50040394790734,,
20170214,58.695473738032675,53.1849550553964,66.03254859456423,69.48601531368413,,
20170215,59.77892587347593,53.125012595282186,65.76977996907772,69.31511563294228,,
20170216,60.3918202098492,52.86714743663401,66.35963023556437,70.04201432400704,,
20170217,60.88019732126005,52.511896145354214,66.90414231554108,70.392045384153,,
20170220,61.35381809894197,52.372278095888475,67.35791004049375,70.63251826371437,,
